timestamp_utc,date,net_liquidation,net_liquidation_value,portfolio_value,equity,cash,buying_power,account_status,source
2026-05-22T18:50:49.002754+00:00,2026-05-22,999966.43,999966.43,999966.43,999966.43,324395.98,1324362.41,connected,alpaca_account_equity
2026-05-26T20:02:37.363655+00:00,2026-05-26,1009648.51,1009648.51,1009648.51,1009648.51,18.55,1009667.06,connected,alpaca_account_equity
2026-05-27T20:04:01.943608+00:00,2026-05-27,1007550.89,1007550.89,1007550.89,1007550.89,0.01,1007550.9,connected,alpaca_account_equity
2026-05-28T20:32:26.692945+00:00,2026-05-28,1011855.01,1011855.01,1011855.01,1011855.01,752.97,1012607.98,connected,alpaca_account_equity
