timestamp_utc,date,action,signal,selected_assets,target_weights_json,orders_count,submitted_order_count,portfolio_value,net_liquidation,account_status,warnings
2026-05-22T18:50:49.002754+00:00,2026-05-22,submitted,macro_rotation,SMH|XLK,"{""SGOV"":0.6756116787328323,""SMH"":0.1285499065766201,""XLK"":0.19583841469054755}",2,2,999966.43,999966.43,connected,
2026-05-26T20:02:37.363655+00:00,2026-05-26,submitted,macro_rotation,SMH|XLK,"{""SGOV"":0.6803012634332355,""SMH"":0.12617618920918908,""XLK"":0.19352254735757538}",3,3,1009648.51,1009648.51,connected,
2026-05-27T20:04:01.943608+00:00,2026-05-27,submitted,macro_rotation,SMH|XLK,"{""SGOV"":0.679660712348427,""SMH"":0.12589970636093975,""XLK"":0.1944395812906333}",2,2,1007550.89,1007550.89,connected,
2026-05-28T20:32:26.692945+00:00,2026-05-28,submitted,macro_rotation,SMH|XLK,"{""SGOV"":0.6753016185573684,""SMH"":0.1286180954114709,""XLK"":0.19608028603116073}",2,2,1011855.01,1011855.01,connected,
